TimeStamp,AccX,AccY,AccZ
21:21.6,-9.10E-01,-2.50E-01,-2.40E-01
21:21.7,-9.70E-01,-2.00E-01,-2.30E-01
21:21.8,-9.50E-01,-1.80E-01,-2.40E-01
21:22.0,-9.40E-01,-2.00E-01,-2.80E-01
21:22.1,-9.60E-01,-2.50E-01,-2.40E-01
21:22.2,-8.80E-01,-1.80E-01,-2.40E-01
21:22.3,-9.00E-01,-2.00E-01,-3.30E-01
21:22.5,-9.30E-01,1.90E-01,-2.30E-01
21:22.6,-1.11E+00,6.40E-01,-1.70E-01
21:22.7,-1.34E+00,5.20E-01,-1.50E-01
21:22.8,-1.12E+00,9.60E-01,-2.60E-01
21:23.0,-5.90E-01,1.02E+00,-4.60E-01
21:23.1,-4.60E-01,8.20E-01,-4.00E-02
21:23.2,6.00E-02,1.10E-01,3.00E-02
21:23.3,-1.90E-01,1.30E-01,-1.50E-01
21:23.4,-5.00E-01,6.10E-01,-1.90E-01
21:23.5,-1.09E+00,4.10E-01,-1.70E-01
21:23.6,-1.14E+00,-9.00E-02,-2.00E-01
21:23.8,-1.63E+00,1.30E-01,-2.60E-01
21:23.9,-6.80E-01,-4.00E-02,-3.20E-01
21:24.0,-8.90E-01,-1.70E-01,-3.10E-01
21:24.1,-8.40E-01,-2.40E-01,-1.70E-01
21:24.3,-9.40E-01,-4.80E-01,-3.30E-01
21:24.4,-8.00E-01,-4.00E-01,-2.20E-01
21:24.5,-9.00E-01,-3.60E-01,-2.70E-01
21:24.6,-8.80E-01,-3.60E-01,-3.10E-01
21:24.8,-6.90E-01,-2.20E-01,-2.80E-01
21:24.9,-7.90E-01,-2.80E-01,-2.30E-01
21:25.0,-9.60E-01,-4.40E-01,-2.70E-01
21:25.1,-8.50E-01,-2.90E-01,-3.20E-01
21:25.2,-8.50E-01,-4.60E-01,-2.30E-01
21:25.4,-8.90E-01,-2.20E-01,-2.70E-01
21:25.4,-8.90E-01,-2.90E-01,-3.20E-01
21:25.6,-9.00E-01,-3.20E-01,-2.60E-01
21:25.7,-8.90E-01,-2.80E-01,-3.20E-01
21:25.8,-7.20E-01,-3.40E-01,-3.20E-01
21:25.9,-9.00E-01,-3.30E-01,-2.30E-01
21:26.1,-8.00E-01,-3.10E-01,-3.30E-01
21:26.2,-8.90E-01,-3.30E-01,-2.40E-01
21:26.3,-8.60E-01,-2.40E-01,-2.20E-01
21:26.4,-8.50E-01,-2.40E-01,-3.20E-01
21:26.5,-8.30E-01,-3.00E-01,-3.30E-01
21:26.7,-9.50E-01,-2.80E-01,-3.10E-01
21:26.8,-8.50E-01,-2.30E-01,-3.40E-01
21:26.9,-8.90E-01,-1.80E-01,-2.40E-01
21:27.0,-8.50E-01,-2.40E-01,-2.50E-01
21:27.2,-9.70E-01,-1.80E-01,-2.50E-01
21:27.3,-8.50E-01,-1.80E-01,-2.60E-01
21:27.4,-9.00E-01,-2.40E-01,-2.50E-01
21:27.5,-9.70E-01,-3.20E-01,-2.30E-01
21:27.6,-8.50E-01,-3.30E-01,-2.40E-01
21:27.7,-9.10E-01,-2.40E-01,-2.30E-01
21:27.9,-8.90E-01,-2.40E-01,-2.50E-01
21:28.0,-8.10E-01,-2.70E-01,-2.50E-01
21:28.1,-8.60E-01,-2.70E-01,-1.80E-01
21:28.2,-8.50E-01,-2.40E-01,-2.70E-01
21:28.3,-7.90E-01,-2.30E-01,-2.80E-01
21:28.5,-8.70E-01,-1.70E-01,-2.20E-01
21:28.6,-8.10E-01,-2.50E-01,-2.60E-01
21:28.7,-8.50E-01,-2.40E-01,-2.40E-01
21:28.8,-8.30E-01,-3.20E-01,-2.70E-01
21:29.0,-9.00E-01,-2.30E-01,-2.60E-01
21:29.1,-8.60E-01,-3.30E-01,-2.50E-01
21:29.2,-9.20E-01,-1.70E-01,-3.40E-01
21:29.3,-9.10E-01,-3.30E-01,-2.70E-01
21:29.4,-9.60E-01,-2.60E-01,-1.80E-01
21:29.5,-9.00E-01,-2.60E-01,-2.40E-01
21:29.6,-9.10E-01,-2.60E-01,-2.40E-01
21:29.8,-8.00E-01,-2.20E-01,-2.50E-01
21:29.9,-8.90E-01,-2.50E-01,-2.40E-01
21:30.0,-8.50E-01,-2.50E-01,-2.50E-01
21:30.1,-8.60E-01,-1.80E-01,-2.30E-01
21:30.3,-9.00E-01,-2.10E-01,-2.60E-01
21:30.4,-7.80E-01,-2.20E-01,-2.70E-01
21:30.5,-8.80E-01,-1.70E-01,-3.10E-01
21:30.6,-9.00E-01,-2.60E-01,-2.30E-01
21:30.8,-9.60E-01,-2.80E-01,-2.40E-01
21:30.9,-8.70E-01,-1.60E-01,-2.70E-01
21:31.0,-9.00E-01,-2.70E-01,-2.60E-01
21:31.1,-8.80E-01,-2.50E-01,-3.30E-01
21:31.2,-9.60E-01,-2.80E-01,-2.60E-01
21:31.3,-7.90E-01,-2.50E-01,-2.50E-01
